date,debt
10/8/2011,59
10/15/2011,59
10/22/2011,62
10/29/2011,60
11/5/2011,62
11/12/2011,62
11/19/2011,64
11/26/2011,65
12/3/2011,60
12/10/2011,56
12/17/2011,43
12/24/2011,43
12/31/2011,52
1/7/2012,56
1/14/2012,57
1/21/2012,65
1/28/2012,58
2/4/2012,56
2/11/2012,56
2/18/2012,55
2/25/2012,51
3/3/2012,50
3/10/2012,45
3/17/2012,47
3/24/2012,47
3/31/2012,45
4/7/2012,47
4/14/2012,49
4/21/2012,51
4/28/2012,49
5/5/2012,48
5/12/2012,52
5/19/2012,47
5/26/2012,44
6/2/2012,43
6/9/2012,45
6/16/2012,44
6/23/2012,44
6/30/2012,40
7/7/2012,43
7/14/2012,44
7/21/2012,44
7/28/2012,43
8/4/2012,43
8/11/2012,46
8/18/2012,45
8/25/2012,50
9/1/2012,61
9/8/2012,51
9/15/2012,52
9/22/2012,50
9/29/2012,55
10/6/2012,50
10/13/2012,53
10/20/2012,53
10/27/2012,47
11/3/2012,67
11/10/2012,52
11/17/2012,41
11/24/2012,50
12/1/2012,50
12/8/2012,44
12/15/2012,36
12/22/2012,31
12/29/2012,49
1/5/2013,49
1/12/2013,53
1/19/2013,48
1/26/2013,48
2/2/2013,46
2/9/2013,46
2/16/2013,44
2/23/2013,48
3/2/2013,46
3/9/2013,45
3/16/2013,46
3/23/2013,43
3/30/2013,42
4/6/2013,44
4/13/2013,44
4/20/2013,44
4/27/2013,44
5/4/2013,42
5/11/2013,41
5/18/2013,38
5/25/2013,36
6/1/2013,38
6/8/2013,36
6/15/2013,36
6/22/2013,36
6/29/2013,34
7/6/2013,37
7/13/2013,38
7/20/2013,39
7/27/2013,38
8/3/2013,38
8/10/2013,37
8/17/2013,38
8/24/2013,38
8/31/2013,38
9/7/2013,40
9/14/2013,43
9/21/2013,46
9/28/2013,66
10/5/2013,81
10/12/2013,100
10/19/2013,49
10/26/2013,44
11/2/2013,41
11/9/2013,42
11/16/2013,42
11/23/2013,35
11/30/2013,42
12/7/2013,40
12/14/2013,34
12/21/2013,24
12/28/2013,33
1/4/2014,40
1/11/2014,42
1/18/2014,42
1/25/2014,44
2/1/2014,45
2/8/2014,48
2/15/2014,43
2/22/2014,44
3/1/2014,44
3/8/2014,42
3/15/2014,42
3/22/2014,43
3/29/2014,42
4/5/2014,42
4/12/2014,40
4/19/2014,41
4/26/2014,43
5/3/2014,41
5/10/2014,41
5/17/2014,40
5/24/2014,37
5/31/2014,38
6/7/2014,40
6/14/2014,36
6/21/2014,36
6/28/2014,34
7/5/2014,37
7/12/2014,38
7/19/2014,39
7/26/2014,40
8/2/2014,39
8/9/2014,36
8/16/2014,36
8/23/2014,36
8/30/2014,35
9/6/2014,39
9/13/2014,41
9/20/2014,39
9/27/2014,40
10/4/2014,39
10/11/2014,39
10/18/2014,38
10/25/2014,40
11/1/2014,43
11/8/2014,40
11/15/2014,41
11/22/2014,34
11/29/2014,44
12/6/2014,43
12/13/2014,37
12/20/2014,24
12/27/2014,30
1/3/2015,38
1/10/2015,40
1/17/2015,42
1/24/2015,45
1/31/2015,45
2/7/2015,44
2/14/2015,43
2/21/2015,42
2/28/2015,41
3/7/2015,43
3/14/2015,42
3/21/2015,41
3/28/2015,39
4/4/2015,41
4/11/2015,44
4/18/2015,43
4/25/2015,42
5/2/2015,42
5/9/2015,41
5/16/2015,39
5/23/2015,36
5/30/2015,39
6/6/2015,38
6/13/2015,41
6/20/2015,41
6/27/2015,62
7/4/2015,61
7/11/2015,50
7/18/2015,42
7/25/2015,38
8/1/2015,39
8/8/2015,40
8/15/2015,38
8/22/2015,40
8/29/2015,38
9/5/2015,39
9/12/2015,42
9/19/2015,41
9/26/2015,41
10/3/2015,42
10/10/2015,43
10/17/2015,43
10/24/2015,45
10/31/2015,44
11/7/2015,42
11/14/2015,42
11/21/2015,35
11/28/2015,41
12/5/2015,42
12/12/2015,39
12/19/2015,28
12/26/2015,31
1/2/2016,43
1/9/2016,46
1/16/2016,44
1/23/2016,47
1/30/2016,49
2/6/2016,47
2/13/2016,84
2/20/2016,58
2/27/2016,48
3/5/2016,47
3/12/2016,45
3/19/2016,43
3/26/2016,43
4/2/2016,45
4/9/2016,46
4/16/2016,45
4/23/2016,45
4/30/2016,46
5/7/2016,45
5/14/2016,43
5/21/2016,40
5/28/2016,38
6/4/2016,48
6/11/2016,38
6/18/2016,39
6/25/2016,38
7/2/2016,37
7/9/2016,40
7/16/2016,42
7/23/2016,44
7/30/2016,41
8/6/2016,39
8/13/2016,40
8/20/2016,42
8/27/2016,42
9/3/2016,40
9/10/2016,44
9/17/2016,44
9/24/2016,50
10/1/2016,33
